Date,Indonesia(IDR)
31-01-1990,745400.5
28-02-1990,747408.3
30-03-1990,652783.7
30-04-1990,669724.5
31-05-1990,671905.9
29-06-1990,643678.6
31-07-1990,683200.3
31-08-1990,732412.1
28-09-1990,750542.5
31-10-1990,728429.8
30-11-1990,733905.2
31-12-1990,743695.8
31-01-1991,697763.3
28-02-1991,708074.8
29-03-1991,703234.4
30-04-1991,677328.2
31-05-1991,712877.6
28-06-1991,720144.0
31-07-1991,709925.5
30-08-1991,687789.9
30-09-1991,698068.3
31-10-1991,694845.4
29-11-1991,740279.1
31-12-1991,706524.6
31-01-1992,708094.9
28-02-1992,713864.6
31-03-1992,691011.2
30-04-1992,680938.4
29-05-1992,677051.2
30-06-1992,699544.4
31-07-1992,732421.5
31-08-1992,697878.9
30-09-1992,715105.3
30-10-1992,701908.8
30-11-1992,689393.3
31-12-1992,685837.3
29-01-1993,697207.4
26-02-1993,683127.0
31-03-1993,695490.7
30-04-1993,738775.7
31-05-1993,784975.0
30-06-1993,802263.3
30-07-1993,842476.7
31-08-1993,785905.5
30-09-1993,759562.6
29-10-1993,780876.4
30-11-1993,785713.1
31-12-1993,824654.2
31-01-1994,799380.2
28-02-1994,818472.9
31-03-1994,838754.3
29-04-1994,811815.2
31-05-1994,838890.9
30-06-1994,836010.0
29-07-1994,831531.0
31-08-1994,838524.1
30-09-1994,859191.4
31-10-1994,833411.7
30-11-1994,834629.1
30-12-1994,842383.5
31-01-1995,831153.1
28-02-1995,834384.5
31-03-1995,877296.0
28-04-1995,870311.8
31-05-1995,855643.5
30-06-1995,861959.9
31-07-1995,856403.6
31-08-1995,866595.9
29-09-1995,870144.0
31-10-1995,868997.9
30-11-1995,885540.9
29-12-1995,884875.5
31-01-1996,929317.4
29-02-1996,928105.5
29-03-1996,926467.8
30-04-1996,911532.9
31-05-1996,910957.4
28-06-1996,889105.0
31-07-1996,906032.5
30-08-1996,905065.8
30-09-1996,879848.5
31-10-1996,883665.8
29-11-1996,870698.0
31-12-1996,872353.1
31-01-1997,821080.8
28-02-1997,859743.2
31-03-1997,835907.9
30-04-1997,826564.3
30-05-1997,840671.6
30-06-1997,813457.9
31-07-1997,853404.9
29-08-1997,959782.1
30-09-1997,1085966.5
31-10-1997,1122596.7
28-11-1997,1082577.3
31-12-1997,1594648.7
30-01-1998,3200923.5
27-02-1998,2631989.1
